state,county,upward_socmob,popdensity_2000,share_poor_1990,median_income_1990,mean_income_2000,frac_college_2000,mean_math_3g_2013,share_black_2000
5,71,9.2829049,34.52692,0.20134519,18227.923301368,52433.457,0.13213167,2.7625952,0.015556415
5,73,6.5415531,16.202003,0.3466405,13862.7831550211,51099.977,0.095188692,3.2900198,0.36263254
5,75,5.9665639,30.247747,0.25379047,15267.3335512618,48774.84,0.085348114,3.5558407,0.005281433
5,77,6.7099996,20.875441,0.46891063,12286.8693399847,45625.492,0.073889107,0.81643963,0.5656051
5,79,5.6925531,25.808657,0.27339804,21308.4389793045,53172.855,0.077602901,2.518774,0.32264647
5,81,7.2975293,25.604317,0.19263671,22083.1029587359,56706.914,0.099240765,3.3753629,0.21385406
5,83,9.3860298,31.754236,0.19118263,18853.1942252214,52573.953,0.093599595,3.4269996,0.011888291
5,85,6.3944295,68.542717,0.13735867,25466.8219147273,70022.969,0.15039708,3.2570727,0.05147218
5,87,10.161093,17.072697,0.19590372,18520.3129095884,51747.953,0.10008048,2.369014,0.0020317207
5,89,7.9860717,27.034723,0.18770161,17218.8864468865,49697.441,0.10396002,3.0161951,0.0017750169
5,91,6.8022162,64.648911,0.21473417,20903.0362523369,59154.348,0.12376663,3.0722041,0.22522396
5,93,5.0169166,57.717762,0.25061592,18959.1134311057,54225.891,0.11368355,2.3623002,0.29890934
5,95,6.9035187,16.889549,0.36286283,13485.7113756289,46282.766,0.084996268,3.0276551,0.39174667
5,97,8.6123154,11.84575,0.2385595,16371.1927901339,52203.227,0.087968938,4.1970243,0.0040968116
5,99,6.8303309,16.112663,0.2014461,18831.4080248972,49998.594,0.1076403,2.7069647,0.31325069
5,101,9.3528055,10.486103,0.28583059,15531.5169267707,46916.246,0.11792377,3.5616355,0.0017421487
5,103,6.7808248,39.288521,0.20969117,21120.4400498981,52947.262,0.12675901,2.3245578,0.38837314
5,105,7.9103865,18.514589,0.20152704,17648.0074822235,58136.848,0.11120673,3.6733148,0.019687852
5,107,3.7606232,38.014042,0.41508234,13964.8875764122,47457.023,0.12488993,2.4242942,0.57905638
5,109,5.704559,18.818951,0.18275641,18984.4601895315,52799.617,0.10101787,3.1092336,0.034584746
5,111,3.7733607,33.774223,0.25064078,17009.5845096205,49101.535,0.062013116,3.3958285,0.069033772
5,113,8.6800247,23.593601,0.18470116,18064.6397679745,50786.695,0.10904151,3.0884113,0.0021340502
5,115,9.2611186,67.034805,0.15408812,22717.5442076627,60277.609,0.18651241,3.8357649,0.028975978
5,117,8.3051652,14.721656,0.22814524,17476.2227194492,55670.762,0.090403996,2.6045969,0.13658032
5,119,5.7213519,475.77328,0.12349254,30351.5423103396,77009.953,0.28272873,2.64116,0.29726374
5,121,9.2965215,27.89827,0.20305553,16834.1812566086,52122.172,0.10708923,3.3535357,0.011292833
5,123,4.8160069,46.204063,0.36678159,14867.0871965461,48397.223,0.095351554,1.9252871,0.49660811
5,125,6.8709046,115.43484,0.088362269,29329.6603475794,73569.906,0.16413939,3.7694011,0.021450052
5,127,7.1968742,12.322933,0.21882449,16763.3219988763,49346.676,0.084604278,2.6069086,0.0029430394
5,129,10.534531,12.402135,0.29934829,13162.3274574704,41195.414,0.082989238,3.3976736,0.00085555797
5,131,8.4712781,216.33588,0.1273066,25432.0809716117,65631.289,0.15770698,2.9565032,0.064510092
5,133,8.7379605,27.882277,0.18880923,19311.4331691875,54345.543,0.092441276,3.9039428,0.048442025
5,135,8.4282435,28.32213,0.2185621,16911.0587928638,47925.191,0.10177145,3.9018569,0.0055740648
5,137,10.226972,18.962574,0.26119393,15620.9430369534,48280.258,0.097477846,3.4332485,0.0019944478
5,139,7.1663335,43.907181,0.21245307,21687.8434796447,58392.195,0.14939292,2.7966676,0.30943996
5,141,8.5228845,22.868147,0.21967041,17561.156478936,54036.621,0.11072215,3.6084449,0.0041919779
5,143,10.210264,167.50325,0.14540642,24383.4968106622,65711.844,0.24296483,3.4751892,0.024239726
5,145,10.203586,64.888893,0.18042846,20410.9727903466,60431.938,0.16576947,2.921545,0.038296431
5,147,5.7989035,14.896275,0.3452664,14034.0743801653,45029.648,0.080324739,3.287509,0.30999401
5,149,6.43951,22.730474,0.17041613,19837.0314627,55373.027,0.11097,3.96964,0.015968617
6,1,15.876757,1953.5833,0.10363327,40947.5845479673,106248.06,0.3434009,2.9569743,0.15113552
6,3,9.8099269,1.6361204,0.18099548,24929,80855.539,0.28230867,,0.01076159
6,5,13.737859,59.03297,0.086727232,30319.2297378807,80969.719,0.16830838,2.2525249,0.038857862
6,7,11.371665,124.15322,0.18267366,23973.3365399531,63702.555,0.22433916,1.8189616,0.017540928
6,9,13.464096,39.758278,0.095969088,28891.695525166,76868.656,0.16580436,2.0303447,0.010484543
6,11,10.143823,16.340918,0.13141933,25226.545170176,65896.93,0.10363143,1.7971562,0.0053758584
6,13,15.250416,1325.2908,0.071805775,50132.2352961268,121372.62,0.33583307,2.8608387,0.09606842
6,15,11.380755,27.332808,0.1541342,23235.3532331353,59776.383,0.11153802,2.2348237,0.046246581
6,17,17.430919,91.226501,0.065950878,39770.7943134558,104566.31,0.28487539,2.9566143,0.0071551101
6,19,8.1236526,134.07433,0.19490913,29521.0311085136,68815.469,0.1717933,2.339963,0.05276965
6,21,7.9067893,20.13055,0.17429797,23092.0581090539,58484.809,0.10628306,1.5501615,0.006271617
6,23,9.8843366,35.459202,0.17944846,24479.9293099336,60501.809,0.23130986,2.0224214,0.012893314
6,25,8.9121334,34.085365,0.22355102,24073.4456528925,63213.754,0.10920496,1.7264649,0.033706587
6,27,16.174549,1.7626181,0.12303068,25215.9845662321,65348.043,0.16680826,2.6441929,0.0026984187
6,29,11.547381,81.365746,0.1599147,32024.401145728,69176.813,0.13127297,1.8224961,0.059318077
6,31,8.2947299,93.176285,0.18110192,26230.4483302729,68073.781,0.11647689,1.7991503,0.083803065
6,33,11.602054,46.407181,0.15121704,23595.3746215733,58941.215,0.12029188,1.8630451,0.025928723
6,35,11.829967,7.4478135,0.12827671,26790.3748422477,67232.859,0.1113909,1.552906,0.093845844
6,37,11.847869,2353.7732,0.14763606,37275.7259191742,83478.172,0.2279837,2.5667319,0.10030666
6,39,8.2508415,57.606441,0.1749427,28166.0156440562,66194.867,0.1116019,1.7277009,0.045296468
6,41,21.041036,475.27002,0.053712569,50007.5617204167,141705.45,0.508084,3.3024766,0.03058834
6,43,15.959802,11.823447,0.12722977,24693.7037494935,65410.234,0.19767596,2.3780675,0.0076603894
6,45,9.8493852,24.602556,0.14318991,26678.341115723,69658.789,0.19621101,1.2909892,0.0087330835
6,47,9.3951404,109.12133,0.19413918,26085.6590775187,67443.063,0.1109477,2.1460238,0.03943095
6,49,13.689829,2.4118311,0.15109344,21949.2651163825,58127.586,0.12290091,0.90701133,0.0087598078
6,51,10.473655,4.2155051,0.096167713,32596.3230530911,83865.828,0.2938627,1.5604309,0.0061699045
6,53,9.4109111,122.46595,0.11796114,34506.7453013956,86315.305,0.20126317,1.9695201,0.034174006
6,55,13.097733,166.06816,0.065437622,38024.1180921367,97190.359,0.2492245,2.2633035,0.018905386
6,57,15.72341,96.09082,0.077259637,33482.692959867,87059.758,0.26020896,2.3722563,0.0044203959
6,59,15.61448,3600.2981,0.080979876,48697.944969685,109789.8,0.30752227,3.0700145,0.017971711
6,61,16.294123,176.53476,0.064899944,40355.7344909928,108754.02,0.30839035,3.0511267,0.011680673
6,63,13.161635,8.1565447,0.11923562,24017.1884840306,65456.844,0.17293245,2.5788043,0.0082656192
6,65,9.8856933,214.44435,0.10731578,35571.8769286491,81451.805,0.16006768,2.3449244,0.064191945
6,67,12.094256,1268.875,0.11064725,36665.489297872,85105.57,0.25021568,2.1885769,0.10413976
6,69,10.62516,38.333447,0.092771553,36869.0702528076,99088.984,0.16813082,1.6287466,0.011472163
6,71,9.9215508,85.243561,0.12320888,35519.8414950477,77649.305,0.15136208,2.1422117,0.095490746
6,73,11.913846,668.90356,0.11119922,38095.7377943301,92503.016,0.29025495,2.8685353,0.06066509
6,75,21.790962,16627.77,0.12736367,34689.4710658739,108677.15,0.43390179,3.3369303,0.084348142
6,77,10.240965,405.08093,0.14360279,32961.321585496,81274.453,0.15184373,1.6530741,0.068649776
6,79,15.090759,74.784248,0.13091548,32265.7484491808,79219.078,0.2714532,2.9211826,0.0177179
6,81,18.679686,1587.8591,0.064557701,49346.7288462533,132195.8,0.37923029,3.2493401,0.037688915
6,83,11.470041,146.00916,0.13853785,36441.5085814631,87191.422,0.27080992,2.4623661,0.024153952
6,85,18.525696,1304.2131,0.075513177,50082.2689104489,134428.52,0.39727688,3.6094806,0.031039501
6,87,12.128313,574.21124,0.11235964,37886.3919026161,100252.27,0.33578059,2.105087,0.012723142
6,89,11.396163,43.243114,0.13281651,26624.0261801184,66124.781,0.16614141,2.3919048,0.010409471
6,91,11.221156,3.7294879,0.092157461,23657,63881.371,0.17165354,2.4626532,0.0022503517
6,93,13.504408,7.0566726,0.13893461,22117.6843448072,58389.809,0.17678112,2.1070728,0.015783938
6,95,12.724575,480.11191,0.069830954,42300.9134932277,95914.281,0.21645215,2.2406671,0.15596731
6,97,14.404465,291.02606,0.079766221,36956.4065293773,97259.07,0.27448943,2.2127702,0.018719641
6,99,10.803877,299.02866,0.14067844,30361.1155770919,74911.25,0.13970998,1.9494953,0.026606958
6,101,12.379891,131.02457,0.14108422,29898.5295705762,73306.711,0.15440325,2.4269974,0.022002164
6,103,10.056221,18.999001,0.15098239,22924.9725709542,60227.422,0.11209341,2.1117342,0.0076298136
6,105,11.702041,4.0959296,0.18183154,21600.9342899516,55544.18,0.15416582,2.9368484,0.0045716031
6,107,8.5781299,76.286224,0.22236772,24976.8437432367,64794.23,0.10990686,1.9168948,0.016114004
6,109,14.389707,24.540228,0.090886414,27287.1281961069,71385.813,0.16912694,2.4211075,0.010726786
6,111,12.184151,408.67273,0.073174424,46347.1144576719,106789.06,0.2584337,2.3496952,0.0214206
6,113,12.572131,166.21886,0.15855832,31074.1763942092,80202.828,0.35703263,2.6189711,0.022380902
6,115,9.9184178,95.307655,0.20386125,22482.368683608,58035.266,0.09224771,2.4820232,0.030296633
8,1,7.7843823,304.39471,0.097528033,34404.5067445775,86055.891,0.17461206,3.1625357,0.028687717
8,3,9.2568278,20.710089,0.248037,20383.081484115,57004.531,0.26299393,3.6376641,0.0090746619
8,5,12.905467,611.39441,0.057805169,43612.4125750854,109584.4,0.37558523,3.8129478,0.082050659
8,7,12.431313,7.3309016,0.15798767,23090.948281652,73559.797,0.29311997,2.9017279,0.0048631178
8,9,16.923508,1.7679288,0.18891479,18528.9341065501,50544.945,0.13978107,4.6905918,0.00088669022
8,11,7.4458256,3.9646738,0.20392074,18893.8577654517,52917.648,0.11468913,4.6983385,0.036345448
8,13,13.515836,370.48535,0.10200386,37590.0919217634,106012.48,0.53233087,4.3933187,0.010569597
8,14,14.949383,1249.2856,0.055177089,41067.0779485683,114629.8,0.38739088,4.0408792,0.011443793
8,15,14.444818,16.032959,0.13813707,22134.3301006255,67636.945,0.24697325,3.5936515,0.017323794
8,17,19.492005,1.2545859,0.1163187,24169.1935753025,64252.418,0.14185885,,0.0040340656
8,19,16.291891,23.586445,0.090875089,36307.3368177817,97648.281,0.39305216,3.9767222,0.0040713628
8,21,17.807792,6.5248294,0.33959439,14328.9411042055,48430.828,0.1444594,3.6442776,0.001657975
8,23,11.001428,2.9854467,0.34091514,13632.5555414105,38733.883,0.12924576,,0.0070489603
8,25,9.7139001,7.0076871,0.23830812,16088,52406.477,0.11880934,4.9114428,0.070496559
8,27,15.227166,4.7425961,0.18381201,20000,67021.039,0.26687598,5.0261712,0.0054239226
8,29,13.142793,24.371941,0.18096168,18528.0360314765,60400.637,0.17424113,3.7701428,0.0060014306
8,31,6.4749651,3665.0042,0.16210671,27072.9712133593,78411.289,0.32015526,2.9667957,0.12833749
8,33,17.410843,1.7281272,0.14457029,19952,57656.93,0.13529857,3.3177133,0.0032537961
8,35,17.60913,209.18323,0.031253062,52103.2200225633,146061.09,0.51075161,4.5260663,0.012332615
8,37,15.678354,24.730326,0.077213466,36784.6697288211,117817.49,0.41019943,3.5876911,0.0031967731
8,39,15.224457,10.736706,0.062272009,37085.5058463519,110828.95,0.26688015,4.0046325,0.0085113719
8,41,9.0180688,243.05632,0.091824293,33749.4438342008,88984.391,0.32271355,4.0978227,0.070601828
8,43,9.5866814,30.099754,0.16605859,19598.4382220235,61734.656,0.14195208,3.90833,0.05358493
8,45,15.289006,14.85668,0.094052501,29015.7496518632,84033.242,0.23299675,3.3819764,0.0047981138
